Year,Week #,Date,Day of Week,Restaurant Name,Total Buckets,Total Weight (lbs),Shell Only Weight,Gallons Water Used,$ Saved from Waste,Tax Credit $
,,,,,,,7224.77,,,
2025,1,5/20/25,Monday,Elwood's,5,25.2,10.2,-,-,-
2025,1,5/23/25,Friday,Elwood's,5,78.02,63.02,,,
2025,1,5/23/25,Friday,Del Mar,1,8.62,5.62,,,
2025,1,5/23/25,Friday,Mac's,3,54.18,45.18,,,
2025,1,5/23/25,Friday,Captain Parker's,3,59.37,50.37,,,
2025,2,5/27/25,Tuesday,Elwood's,5,88.58,73.58,,,
2025,2,5/27/25,Tuesday,Mac's,6,130.52,112.52,,,
2025,2,5/27/25,Tuesday,Captain Parker's,1,20.92,17.92,,,
2025,2,5/30/25,Friday,Elwood's,1,14.2,11.2,,,
2025,2,5/30/25,Friday,Del Mar,3,35.18,26.18,,,
2025,2,5/30/25,Friday,Mac's,4,44.49,32.49,,,
2025,2,5/30/25,Friday,Captain Parker's,1,11.61,8.61,,,
2025,3,6/2/25,Monday,Elwood's,2,43.53,37.53,,,
2025,3,6/2/25,Monday,Del Mar,1,9.48,6.48,,,
2025,3,6/2/25,Monday,Mac's,3,57.42,48.42,,,
2025,3,6/2/25,Monday,Captain Parker's,1,12.62,9.62,,,
2025,3,6/6/25,Friday,Elwood's,3,49.64,40.64,,,
2025,3,6/6/25,Friday,Del Mar,3,20.09,11.09,,,
2025,3,6/6/25,Friday,Mac's,7,98.51,77.51,,,
2025,3,6/6/25,Friday,Captain Parker's,1,8.58,5.58,,,
2025,4,6/9/25,Monday,Elwood's,5,81.12,66.12,,,
2025,4,6/9/25,Monday,Del Mar,2,17.63,11.63,,,
2025,4,6/9/25,Monday,Mac's,4,58.16,46.16,,,
2025,4,6/9/25,Monday,Captain Parker's,1,16.99,13.99,,,
2025,4,6/11/25,Wednesday,Del Mar,2,18.91,12.91,,,
2025,4,6/11/25,Wednesday,Mac's,2,35.89,29.89,,,
2025,4,6/11/25,Wednesday,Lighthouse Inn,1,17.8,14.8,,,
2025,4,6/11/25,Wednesday,Captain Parker's,1,10.15,7.15,,,
2025,5,6/18/25,Wednesday,Elwood's,8,147.39,123.39,,,
2025,5,6/18/25,Wednesday,Del Mar,3,59.84,50.84,,,
2025,5,6/18/25,Wednesday,Mac's,8,165.96,141.96,,,
2025,5,6/18/25,Wednesday,Lighthouse Inn,1,16.71,13.71,,,
2025,5,6/18/25,Wednesday,Captain Parker's,2,41.71,35.71,,,
2025,5,6/20/25,Friday,Elwood's,3,62.02,53.02,,,
2025,5,6/20/25,Friday,Del Mar,1,20.86,17.86,,,
