Year,Restaurant,Full Address,Lat,Lon,Total Buckets,Shell Only Weight
2021,Arnold's Lobster & Clam Bar,"3580 US-6,  Eastham, MA 02642",41.8437838,-69.9826952,0,0
2022,Arnold's Lobster & Clam Bar,"3580 US-6,  Eastham, MA 02642",41.8437838,-69.9826952,144,3259.56
2023,Arnold's Lobster & Clam Bar,"3580 US-6,  Eastham, MA 02642",41.8437838,-69.9826952,143,2865.98
2024,Arnold's Lobster & Clam Bar,"3580 US-6,  Eastham, MA 02642",41.8437838,-69.9826952,115,2867.22
2025,Art and Oyster,,,,40,1000
2021,The Barley Neck,"5 Beach Rd,  Orleans, MA 02653",41.784817,-69.9639675,0,0
2022,The Barley Neck,"5 Beach Rd,  Orleans, MA 02653",41.784817,-69.9639675,74,1149.9
2023,The Barley Neck,"5 Beach Rd,  Orleans, MA 02653",41.784817,-69.9639675,145,1896.34
2024,The Barley Neck,"5 Beach Rd,  Orleans, MA 02653",41.784817,-69.9639675,106,2222.16
2025,The Barley Neck,"5 Beach Rd,  Orleans, MA 02653",41.784817,-69.9639675,103,2058
2021,The Beachcomber ,"1120 Cahoon Hollow Rd,  Wellfleet, MA 02667",41.944,-69.98516,54,1214
2022,The Beachcomber ,"1120 Cahoon Hollow Rd,  Wellfleet, MA 02667",41.944,-69.98516,208,5002.2
2023,The Beachcomber ,"1120 Cahoon Hollow Rd,  Wellfleet, MA 02667",41.944,-69.98516,144,3085.77
2024,The Beachcomber ,"1120 Cahoon Hollow Rd,  Wellfleet, MA 02667",41.944,-69.98516,170,4181.43
2025,The Beachcomber ,"1120 Cahoon Hollow Rd,  Wellfleet, MA 02667",41.944,-69.98516,148,4083
2025,Bistro 41 Kitchen & Bar,"4100 State Hwy,  Eastham, MA 02642",41.8506876,-69.9870109,52,898
2021,The Block & Tackle,"545 US-6,  Wellfleet, MA 02667",41.8921338,-69.9877414,0,0
2022,The Block & Tackle,"545 US-6,  Wellfleet, MA 02667",41.8921338,-69.9877414,0,0
2023,The Block & Tackle,"545 US-6,  Wellfleet, MA 02667",41.8921338,-69.9877414,0,0
2024,The Block & Tackle,"545 US-6,  Wellfleet, MA 02667",41.8921338,-69.9877414,21,218.7
2025,The Block & Tackle,"545 US-6,  Wellfleet, MA 02667",41.8921338,-69.9877414,4,35
2021,Bookstore & Restaurant,"50 Kendrick Ave,  Wellfleet, MA 02667",41.930751,-70.032088,0,0
2022,Bookstore & Restaurant,"50 Kendrick Ave,  Wellfleet, MA 02667",41.930751,-70.032088,229,3552.68
2023,Bookstore & Restaurant,"50 Kendrick Ave,  Wellfleet, MA 02667",41.930751,-70.032088,269,5892.75
2024,Bookstore & Restaurant,"50 Kendrick Ave,  Wellfleet, MA 02667",41.930751,-70.032088,184,3818.64
2025,Bookstore & Restaurant,"50 Kendrick Ave,  Wellfleet, MA 02667",41.930751,-70.032088,232,5324
2021,Brine,"4100 State Hwy,  Eastham, MA 02642",41.8506846,-69.9869819,0,0
2022,Brine,"4100 State Hwy,  Eastham, MA 02642",41.8506846,-69.9869819,29,299.28
2023,Brine,"4100 State Hwy,  Eastham, MA 02642",41.8506846,-69.9869819,10,120.74
2024,Brine,"4100 State Hwy,  Eastham, MA 02642",41.8506846,-69.9869819,0,0
2021,Captain Parker's Pub,"668 MA-28,  West Yarmouth, MA 02673",41.6492464,-70.224562,0,0
2022,Captain Parker's Pub,"668 MA-28,  West Yarmouth, MA 02673",41.6492464,-70.224562,0,0
2023,Captain Parker's Pub,"668 MA-28,  West Yarmouth, MA 02673",41.6492464,-70.224562,0,0
2024,Captain Parker's Pub,"668 MA-28,  West Yarmouth, MA 02673",41.6492464,-70.224562,96,1499.51
2025,Captain Parker's Pub,"668 MA-28,  West Yarmouth, MA 02673",41.6492464,-70.224562,43,628.95
2021,Casa del Cabo,"3 Main St #32B,  Eastham, MA 02642",41.8522519,-69.9857094,0,0
2022,Casa del Cabo,"3 Main St #32B,  Eastham, MA 02642",41.8522519,-69.9857094,0,0
2023,Casa del Cabo,"3 Main St #32B,  Eastham, MA 02642",41.8522519,-69.9857094,0,0
2024,Casa del Cabo,"3 Main St #32B,  Eastham, MA 02642",41.8522519,-69.9857094,66,1026.34
2025,Casa del Cabo,"3 Main St #32B,  Eastham, MA 02642",41.8522519,-69.9857094,73,1272
2021,CERALDI,"9 Ryder St Ext,  Provincetown, MA 02657",42.0492367,-70.1838482,0,0
2022,CERALDI,"9 Ryder St Ext,  Provincetown, MA 02657",42.0492367,-70.1838482,0,0
2023,CERALDI,"9 Ryder St Ext,  Provincetown, MA 02657",42.0492367,-70.1838482,0,0
2024,CERALDI,"9 Ryder St Ext,  Provincetown, MA 02657",42.0492367,-70.1838482,43,541.23
2021,Community,,,,0,0
2022,Community,,,,0,0
2023,Community,,,,0,0
2024,Community,,,,4,75.06
2025,Community,,,,12,240
2021,CShore Kitchen and Bar,"554 State Highway Route 6,  Wellfleet, MA 02667",41.8927339,-69.986524,54,950
2022,CShore Kitchen and Bar,"554 State Highway Route 6,  Wellfleet, MA 02667",41.8927339,-69.986524,82,814.98
2023,CShore Kitchen and Bar,"554 State Highway Route 6,  Wellfleet, MA 02667",41.8927339,-69.986524,86,841.03
2024,CShore Kitchen and Bar,"554 State Highway Route 6,  Wellfleet, MA 02667",41.8927339,-69.986524,55,636.96
2025,CShore Kitchen and Bar,"555 State Highway Route 6,  Wellfleet, MA 02667",41.8927339,-69.986524,36,543
2021,Del Mar Bar & Bistro,"907 Main St,  Chatham, MA 02633",41.6860075,-69.9694353,0,0
2022,Del Mar Bar & Bistro,"907 Main St,  Chatham, MA 02633",41.6860075,-69.9694353,22,404.72
2023,Del Mar Bar & Bistro,"907 Main St,  Chatham, MA 02633",41.6860075,-69.9694353,97,1513.54
2024,Del Mar Bar & Bistro,"907 Main St,  Chatham, MA 02633",41.6860075,-69.9694353,99,1750.78
2025,Del Mar Bar & Bistro,"907 Main St,  Chatham, MA 02633",41.6860075,-69.9694353,55,768.3
2021,Elwood's Raw Bars,"309 Orleans Rd,  North Chatham, MA 02650",41.6983533,-69.9633853,0,0
2022,Elwood's Raw Bars,"309 Orleans Rd,  North Chatham, MA 02650",41.6983533,-69.9633853,0,0
2023,Elwood's Raw Bars,"309 Orleans Rd,  North Chatham, MA 02650",41.6983533,-69.9633853,0,0
2024,Elwood's Raw Bars,"309 Orleans Rd,  North Chatham, MA 02650",41.6983533,-69.9633853,156,2847.97
2025,Elwood's Raw Bars,"309 Orleans Rd,  North Chatham, MA 02650",41.6983533,-69.9633853,206,3313.38
2021,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,0,0
2022,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,0,0
2023,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,0,0
2024,Englewood Beach,"Englewood Beach,  199 Berry Ave, West Yarmouth",41.6403015,-70.2472381,22,326.07
2021,Farmer's Market,,,,0,0
2022,Farmer's Market,,,,0,0
2023,Farmer's Market,,,,8,193
2024,Farmer's Market,,,,0,0
2025,Gloucester Shell-abration,,,,3,67.91
2021,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,0,0
2022,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,53,1091.15
2023,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,97,2009.11
2024,Governor Bradford Restaurant,"312 Commercial St,  Provincetown, MA 02657",42.052124,-70.185618,0,0
2021, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,0,0
2022, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,21,160.83
2023, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,66,878.46
2024, Hog Island Surf Lodge,"842 US-6,  Wellfleet, MA 02667",41.9001595,-69.9842985,19,207
2025,Lighthouse Inn,"1 Lighthouse Inn Rd,  West Dennis, MA 02670",41.6517888,-70.1693557,2,28.51
2021,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,0,0
2022,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,0,0
2023,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,204,4236.74
2024,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,179,3235.07
2025,The Lobster Pot,"321 Commercial St,  Provincetown, MA 02657",42.052002,,253,4364
2021,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,0,0
2022,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,0,0
2023,Mac's Fish House Provincetown,"85 Shank Painter Rd,  Provincetown, MA 02657",42.0526721,-70.1952592,100,2437.03
