Column 1,2018,2019,2020,2021,2022,2023,2024,2025,Totals
Gloucester,"50,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","470,000"
Marblehead,"60,000","60,000","60,000","60,000","60,000","60,000","60,000",0,"420,000"
Hyannis,"50,000","120,000","120,000","120,000","120,000","120,000","80,000",0,"730,000"
Nantucket Madaket,0,0,"20,000","20,000","20,000","10,000","10,000","10,000","90,000"
Manchester,0,0,0,0,0,"20,000","20,000","25,000","65,000"
Nantucktet Land Trust,0,0,0,0,0,"17,000","10,000","10,000","37,000"
Yarmouth,0,0,0,0,0,0,"60,000","60,000","120,000"
Newburyport,0,0,0,0,0,0,0,"60,000","60,000"
Duxbury**no idea,0,0,0,0,"20,000",0,0,0,"20,000"
TOTAL,"160,000","240,000","260,000","260,000","280,000","287,000","300,000","225,000","2,012,000"
