Restaurant Name,Year,Total Buckets
Arnold's,2021,0.0
Arnold's,2022,144.0
Arnold's,2023,143.0
Arnold's,2024,115.0
Barley Neck,2021,0.0
Barley Neck,2022,74.0
Barley Neck,2023,145.0
Barley Neck,2024,106.0
Beachcomber,2021,54.0
Beachcomber,2022,208.0
Beachcomber,2023,144.0
Beachcomber,2024,170.0
Block and Tackle,2021,0.0
Block and Tackle,2022,0.0
Block and Tackle,2023,0.0
Block and Tackle,2024,21.0
Bookstore,2021,0.0
Bookstore,2022,229.0
Bookstore,2023,269.0
Bookstore,2024,184.0
Brine,2021,0.0
Brine,2022,29.0
Brine,2023,10.0
Brine,2024,0.0
Captain Parker's,2021,0.0
Captain Parker's,2022,0.0
Captain Parker's,2023,0.0
Captain Parker's,2024,96.0
Casa Del Cabo,2021,0.0
Casa Del Cabo,2022,0.0
Casa Del Cabo,2023,0.0
Casa Del Cabo,2024,66.0
Ceraldi,2021,0.0
Ceraldi,2022,0.0
Ceraldi,2023,0.0
Ceraldi,2024,43.0
Community,2021,0.0
Community,2022,0.0
Community,2023,0.0
Community,2024,4.0
Cshore,2021,54.0
Cshore,2022,82.0
Cshore,2023,86.0
Cshore,2024,55.0
Del Mar,2021,0.0
Del Mar,2022,22.0
Del Mar,2023,97.0
Del Mar,2024,99.0
Elwood Raw Bars,2021,0.0
Elwood Raw Bars,2022,0.0
Elwood Raw Bars,2023,0.0
Elwood Raw Bars,2024,156.0
Englewood Beach,2021,0.0
Englewood Beach,2022,0.0
Englewood Beach,2023,0.0
Englewood Beach,2024,22.0
FM,2021,0.0
FM,2022,0.0
FM,2023,8.0
FM,2024,0.0
Gov. Bradford,2021,0.0
Gov. Bradford,2022,53.0
Gov. Bradford,2023,97.0
Gov. Bradford,2024,0.0
Hog Island Surf,2021,0.0
Hog Island Surf,2022,21.0
Hog Island Surf,2023,66.0
Hog Island Surf,2024,19.0
Lobster Pot,2021,0.0
Lobster Pot,2022,0.0
Lobster Pot,2023,204.0
Lobster Pot,2024,179.0
Mac's Fish House,2021,0.0
Mac's Fish House,2022,0.0
Mac's Fish House,2023,100.0
Mac's Fish House,2024,85.0
Mac's Lobster & Fish,2021,0.0
Mac's Lobster & Fish,2022,116.0
Mac's Lobster & Fish,2023,167.0
Mac's Lobster & Fish,2024,191.0
Mac's Shack,2021,313.0
Mac's Shack,2022,237.0
Mac's Shack,2023,276.0
Mac's Shack,2024,298.0
Mac's on the Pier,2021,0.0
Mac's on the Pier,2022,0.0
Mac's on the Pier,2023,0.0
Mac's on the Pier,2024,71.0
Moby Dick's,2021,117.0
Moby Dick's,2022,149.0
Moby Dick's,2023,135.0
Moby Dick's,2024,118.0
Pearl,2021,344.0
Pearl,2022,143.0
Pearl,2023,315.0
Pearl,2024,518.0
Squealing Pig,2021,0.0
Squealing Pig,2022,0.0
Squealing Pig,2023,123.0
Squealing Pig,2024,0.0
The Rail,2021,0.0
The Rail,2022,55.0
The Rail,2023,0.0
The Rail,2024,0.0
Van Rensselaer's,2021,124.0
Van Rensselaer's,2022,152.0
Van Rensselaer's,2023,145.0
Van Rensselaer's,2024,151.0
Wicked Oyster,2021,52.0
Wicked Oyster,2022,189.0
Wicked Oyster,2023,117.0
Wicked Oyster,2024,91.0
Wilbur Park,2021,0.0
Wilbur Park,2022,0.0
Wilbur Park,2023,0.0
Wilbur Park,2024,11.0
Winslow's Tavern,2021,199.0
Winslow's Tavern,2022,244.0
Winslow's Tavern,2023,244.0
Winslow's Tavern,2024,249.0
