Restaurant Name,Year,Shell Only Weight
Arnold's,2021,0
Arnold's,2022,3259.56
Arnold's,2023,2865.98
Arnold's,2024,2867.22
Barley Neck,2021,0
Barley Neck,2022,1149.9
Barley Neck,2023,1896.34
Barley Neck,2024,2222.16
Beachcomber,2021,1214
Beachcomber,2022,5002.2
Beachcomber,2023,3085.77
Beachcomber,2024,4181.43
Block and Tackle,2021,0
Block and Tackle,2022,0
Block and Tackle,2023,0
Block and Tackle,2024,218.7
Bookstore,2021,0
Bookstore,2022,3552.68
Bookstore,2023,5892.75
Bookstore,2024,3818.64
Brine,2021,0
Brine,2022,299.28
Brine,2023,120.74
Brine,2024,0
Captain Parker's,2021,0
Captain Parker's,2022,0
Captain Parker's,2023,0
Captain Parker's,2024,1499.51
Casa Del Cabo,2021,0
Casa Del Cabo,2022,0
Casa Del Cabo,2023,0
Casa Del Cabo,2024,1026.34
Ceraldi,2021,0
Ceraldi,2022,0
Ceraldi,2023,0
Ceraldi,2024,541.23
Community,2021,0
Community,2022,0
Community,2023,0
Community,2024,75.06
Cshore,2021,950
Cshore,2022,814.98
Cshore,2023,841.03
Cshore,2024,636.96
Del Mar,2021,0
Del Mar,2022,404.72
Del Mar,2023,1513.54
Del Mar,2024,1750.78
Elwood Raw Bars,2021,0
Elwood Raw Bars,2022,0
Elwood Raw Bars,2023,0
Elwood Raw Bars,2024,2847.97
Englewood Beach,2021,0
Englewood Beach,2022,0
Englewood Beach,2023,0
Englewood Beach,2024,326.07
FM,2021,0
FM,2022,0
FM,2023,193
FM,2024,0
Gov. Bradford,2021,0
Gov. Bradford,2022,1091.15
Gov. Bradford,2023,2009.11
Gov. Bradford,2024,0
Hog Island Surf,2021,0
Hog Island Surf,2022,160.83
Hog Island Surf,2023,878.46
Hog Island Surf,2024,207
Lobster Pot,2021,0
Lobster Pot,2022,0
Lobster Pot,2023,4236.74
Lobster Pot,2024,3235.07
Mac's Fish House,2021,0
Mac's Fish House,2022,0
Mac's Fish House,2023,2437.03
Mac's Fish House,2024,1927.03
Mac's Lobster & Fish,2021,0
Mac's Lobster & Fish,2022,2180.22
Mac's Lobster & Fish,2023,2627.26
Mac's Lobster & Fish,2024,3624.67
Mac's Shack,2021,6284
Mac's Shack,2022,5155.27
Mac's Shack,2023,5914.2
Mac's Shack,2024,6718.55
Mac's on the Pier,2021,0
Mac's on the Pier,2022,0
Mac's on the Pier,2023,0
Mac's on the Pier,2024,1138.4
Moby Dick's,2021,2296
Moby Dick's,2022,2122.96
Moby Dick's,2023,2006.91
Moby Dick's,2024,2137.15
Pearl,2021,7350
Pearl,2022,2950.92
Pearl,2023,6646.84
Pearl,2024,11770.65
Squealing Pig,2021,0
Squealing Pig,2022,0
Squealing Pig,2023,2122.14
Squealing Pig,2024,0
The Rail,2021,0
The Rail,2022,903.53
The Rail,2023,0
The Rail,2024,0
Van Rensselaer's,2021,2164
Van Rensselaer's,2022,2231.66
Van Rensselaer's,2023,2352.85
Van Rensselaer's,2024,2944.74
Wicked Oyster,2021,975
Wicked Oyster,2022,2388.22
Wicked Oyster,2023,1753.16
Wicked Oyster,2024,1798.77
Wilbur Park,2021,0
Wilbur Park,2022,0
Wilbur Park,2023,0
Wilbur Park,2024,169.19
Winslow's Tavern,2021,3850
Winslow's Tavern,2022,4183.8
Winslow's Tavern,2023,5092.47
Winslow's Tavern,2024,5334
