location,year,week_number,collection_date,day_of_week,restaurant_name,total_buckets,total_weight_lbs,shell_only_weight_lbs
Westport,2026,1,2026-06-12,Friday,Sea Farms,4,80.04,68.04
Westport,2026,2,2026-06-15,Monday,Sea Farms,6,126.8,108.8
Westport,2026,2,2026-06-15,Monday,Eddy's,1,15.5,12.5
Westport,2026,3,2026-06-19,Friday,Sea Farms,5,95.2,80.2
Westport,2026,3,2026-06-19,Friday,Eddy's,1,27.2,24.2
Westport,2026,3,2026-06-22,Tuesday,Sea Farms,7,133.4,112.4
Westport,2026,4,2026-07-03,Friday,Sea Farms,6,127.7,109.7
Westport,2026,5,2026-07-06,Monday,Eddy's,1,23.5,20.5
Westport,2026,5,2026-07-06,Monday,Sea Farms,9,194.5,167.5
Westport,2026,5,2026-07-09,Friday,Sea Farms,3,63.9,54.9
